705 4
7.63924 7.90638 0.0847518 3.26931 
1.51304 2.0717 0.316995 3.64148 
-0.202183 1.01058 2.09861 0.0786067 2
0.311868 0.527884 0.521297 -0.626575 3
0.899356 1.01058 1.30995 -0.531646 3
0.238432 0.0451885 -0.26736 -0.470621 3
-0.202183 -0.437507 0.521297 -0.470621 2
-0.0553113 0.527884 0.915625 -0.34179 3
0.238432 0.527884 1.30995 -0.34857 3
0.605612 1.01058 0.521297 -0.585891 3
-0.716235 -0.920202 0.521297 0.0853873 1
-1.59747 -1.4029 0.126968 0.980425 0
-2.84588 -3.81637 -1.84467 2.03142 0
1.26654 1.01058 0.126968 -0.768967 4
0.532176 1.01058 0.915625 -0.219739 4
0.899356 1.01058 0.521297 -0.714722 4
0.82592 1.01058 -0.26736 -0.626575 4
1.41341 1.01058 -0.26736 -0.850334 4
1.33997 1.01058 0.126968 -0.836773 4
0.679048 0.527884 0.521297 -0.531646 4
0.899356 0.0451885 0.126968 -0.653697 4
0.82592 0.527884 0.126968 -0.626575 4
