1795 4
7.63506 213.782 0 0.526508 
1.54737 43.3265 1 0.464816 
0.558974 0.558974 0 -0.358223 3
0.466652 0.466652 0 -0.665565 3
0.558974 0.558974 0 1.55651 3
0.282007 0.282007 0 0.462378 3
1.20523 1.20523 0 0.7605 4
0.282007 0.282007 0 -1.06511 3
0.282007 0.282007 0 0.806601 3
1.25139 1.25139 0 -0.376664 4
0.143524 0.143524 0 1.01252 2
0.651297 0.651297 0 -1.08355 4
0.328169 0.328169 0 1.51963 2
-1.37979 -1.37979 0 -0.551848 1
0.605136 0.605136 0 0.0105866 3
1.25139 1.25139 0 0.397837 4
0.78978 0.78978 0 0.324075 3
0.928264 0.928264 0 -0.979053 4
0.328169 0.328169 0 0.367103 4
0.974425 0.974425 0 0.443938 3
-0.733538 -0.733538 0 -0.143084 2
0.328169 0.328169 0 0.0997156 3
0.743619 0.743619 0 -0.302902 3
-0.733538 -0.733538 0 -0.874557 2
0.697458 0.697458 0 -0.0693222 3
0.37433 0.37433 0 -0.435058 3
1.06675 1.06675 0 -0.711666 4
0.512813 0.512813 0 0.714398 3
0.420491 0.420491 0 -1.03745 3
-0.502732 -0.502732 0 -0.610243 3
0.882103 0.882103 0 -0.272168 4
1.06675 1.06675 0 -0.561068 4
0.466652 0.466652 0 0.711325 3
0.697458 0.697458 0 -0.431985 4
-0.0411207 -0.0411207 0 0.692885 3
0.697458 0.697458 0 -0.0478083 3
0.835941 0.835941 0 -1.00057 4
0.697458 0.697458 0 -0.521114 3
0.697458 0.697458 0 -0.711666 4
1.15907 1.15907 0 -0.920658 4
0.143524 0.143524 0 -0.911438 3
1.20523 1.20523 0 -1.02515 5
0.928264 0.928264 0 -0.957539 4
0.974425 0.974425 0 -0.352076 4
0.420491 0.420491 0 -0.736253 3
1.15907 1.15907 0 -0.828456 5
-0.179604 -0.179604 0 -0.0416615 2
-0.502732 -0.502732 0 -0.674785 3
0.651297 0.651297 0 -0.106203 4
0.558974 0.558974 0 -0.422765 4
0.558974 0.558974 0 0.717472 4
0.37433 0.37433 0 -0.862263 3
0.882103 0.882103 0 -0.874557 4
0.328169 0.328169 0 -0.459646 3
0.282007 0.282007 0 -1.12965 3
0.78978 0.78978 0 0.41013 3
0.651297 0.651297 0 0.40091 3
0.235846 0.235846 0 0.244166 3
-0.179604 -0.179604 0 1.05555 2
-1.51828 -1.51828 0 -0.349003 1
0.420491 0.420491 0 -0.671711 4
0.835941 0.835941 0 -1.11428 4
0.835941 0.835941 0 -0.468866 4
-0.595055 -0.595055 0 -1.03745 2
0.697458 0.697458 0 0.447011 3
0.466652 0.466652 0 0.281047 3
1.11291 1.11291 0 0.216505 4
0.235846 0.235846 0 -1.11121 3
0.420491 0.420491 0 -0.843823 3
0.605136 0.605136 0 1.34445 3
0.697458 0.697458 0 -0.435058 3
-0.502732 -0.502732 0 -0.106203 2
0.697458 0.697458 0 -0.305975 3
0.605136 0.605136 0 0.892657 3
0.605136 0.605136 0 0.0536144 3
-0.825861 -0.825861 0 -1.07433 2
-1.28747 -1.28747 0 -0.665565 1
-1.28747 -1.28747 0 0.142743 1
0.143524 0.143524 0 -0.773134 3
0.697458 0.697458 0 -0.413545 3
0.743619 0.743619 0 -0.23836 3
0.605136 0.605136 0 -0.7424 3
-0.318088 -0.318088 0 -0.222993 2
1.29755 1.29755 0 -0.179965 4
1.29755 1.29755 0 -0.395104 4
-0.179604 -0.179604 0 0.228799 3
0.651297 0.651297 0 0.12123 3
-2.57998 -2.57998 0 1.52885 0
0.00504044 0.00504044 0 1.17541 2
0.697458 0.697458 0 0.683664 3
-1.56444 -1.56444 0 -0.216846 1
-1.74908 -1.74908 0 0.483892 1
-0.918183 -0.918183 0 -0.00478049 1
0.882103 0.882103 0 -0.530334 4
0.974425 0.974425 0 -0.687078 4
0.974425 0.974425 0 -0.794648 4
1.02059 1.02059 0 -0.60717 4
1.15907 1.15907 0 -0.640977 4
1.25139 1.25139 0 -0.763914 4
0.743619 0.743619 0 -0.521114 4
0.882103 0.882103 0 -0.702446 4
0.882103 0.882103 0 -0.444279 4
0.882103 0.882103 0 -0.422765 4
1.06675 1.06675 0 -0.865337 4
1.06675 1.06675 0 -0.926805 4
0.974425 0.974425 0 -1.06204 4
0.605136 0.605136 0 -0.189185 4
1.25139 1.25139 0 -0.548775 4
1.29755 1.29755 0 -0.739327 4
1.15907 1.15907 0 -0.511894 4
0.651297 0.651297 0 -0.170745 4
-1.54136 -1.54136 0 0.115083 0
-2.02605 -2.02605 0 -0.702446 0
-0.664296 -0.664296 0 1.0033 3
-0.941263 -0.941263 0 2.09743 3
-2.57998 -2.57998 0 -0.0201476 0
-0.664296 -0.664296 0 0.637563 3
-0.248846 -0.248846 0 -0.788501 3
-0.525813 -0.525813 0 -0.828456 2
0.651297 0.651297 0 -0.416618 3
-0.248846 -0.248846 0 1.21229 3
0.143524 0.143524 0 -1.08355 3
